"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"bnfchapter"
"13890341000033119"	"39804311000001102"	"risankizumab 150mg/1ml solution for injection pre-filled disposable devices"	"risankizumab 150mg/1ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"risankizumab"	"150.000mg/1.000ml"	NA
"13890541000033114"	"39792011000001106"	"skyrizi 150mg/1ml solution for injection pre-filled syringes (abbvie ltd)"	"skyrizi 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"risankizumab"	"150.000mg/1.000ml"	NA
"13890641000033110"	"39791411000001107"	"skyrizi 150mg/1ml solution for injection pre-filled pens (abbvie ltd)"	"skyrizi 150mg/1ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"risankizumab"	"150.000mg/1.000ml"	NA
"13899541000033116"	"39735511000001104"	"ofatumumab 20mg/0.4ml solution for injection pre-filled disposable devices"	"ofatumumab 20mg/0.4ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"ofatumumab"	"50.000mg/1.000ml"	"08020400"
"13899641000033115"	"39608111000001100"	"kesimpta sensoready 20mg/0.4ml solution for injection pre-filled pens (novartis pharmaceuticals uk ltd)"	"kesimpta sensoready 20mg/0.4ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"ofatumumab"	"50.000mg/1.000ml"	NA
"13911341000033115"	"40087811000001102"	"upadacitinib 30mg modified-release tablets"	"upadacitinib 30mg modified-release tablets"	"Modified-release tablet"	"Oral"	"upadacitinib hemihydrate"	"30.000mg"	"10010300"
"13911441000033114"	"40062811000001103"	"rinvoq 30mg modified-release tablets (abbvie ltd)"	"rinvoq 30mg modified-release tablets"	"Modified-release tablet"	"Oral"	"upadacitinib hemihydrate"	"30.000mg"	NA
"13941941000033112"	"39965811000001100"	"tralokinumab 150mg/1ml solution for injection pre-filled syringes"	"tralokinumab 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"tralokinumab"	"150.000mg/1.000ml"	"13050300"
"13942041000033118"	"39935811000001108"	"adtralza 150mg/1ml solution for injection pre-filled syringes (leo pharma)"	"adtralza 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"tralokinumab"	"150.000mg/1.000ml"	NA
"13942341000033116"	"40241711000001100"	"secukinumab 75mg/0.5ml solution for injection pre-filled syringes"	"secukinumab 75mg/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"secukinumab"	"150.000mg/1.000ml"	"10010300"
