"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"bnfchapter"
"6390841000033119"	"19377111000001102"	"capsorin 50mg capsules (morningside healthcare ltd)"	"capsorin 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"ciclosporin"	"50.000mg"	NA
"6390941000033110"	"19376911000001102"	"capsorin 100mg capsules (morningside healthcare ltd)"	"capsorin 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"ciclosporin"	"100.000mg"	NA
"6526541000033110"	"19976011000001106"	"methotrexate 20mg/1ml solution for injection pre-filled syringes"	"methotrexate 20mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"20.000mg/1.000ml"	"10010300"
"6526641000033111"	"19976111000001107"	"methotrexate 25mg/1.25ml solution for injection pre-filled syringes"	"methotrexate 25mg/1.25ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"20.000mg/1.000ml"	"10010300"
"6526741000033119"	"19976211000001101"	"methotrexate 30mg/1.5ml solution for injection pre-filled syringes"	"methotrexate 30mg/1.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"20.000mg/1.000ml"	"10010300"
"6526841000033112"	"19956011000001109"	"ebetrex 20mg/1ml solution for injection pre-filled syringes (sandoz ltd)"	"ebetrex 20mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"20.000mg/1.000ml"	NA
"8112741000033111"	"9468611000001105"	"methotrexate 20mg/0.8ml solution for injection pre-filled syringes"	"methotrexate 20mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	"08010300"
"8265941000033118"	"21969411000001109"	"xaluprine 20mg/ml oral suspension (nova laboratories ltd)"	"xaluprine 20mg/ml oral suspension"	"Oral suspension"	"Oral"	"mercaptopurine"	"20.000mg/1.000ml"	NA
"8300141000033117"	"22343011000001103"	"pirfenidone 267mg capsules"	"pirfenidone 267mg capsules"	"Capsule/ Oral capsule"	"Oral"	"pirfenidone"	"267.000mg"	"03110100"
"8300241000033112"	"22333211000001109"	"esbriet 267mg capsules (roche products ltd)"	"esbriet 267mg capsules"	"Capsule/ Oral capsule"	"Oral"	"pirfenidone"	"267.000mg"	NA
"8493941000033115"	"16035911000001102"	"azathioprine 250mg/5ml oral solution"	"azathioprine 250mg/5ml oral solution"	"Oral solution"	"Oral"	"azathioprine"	"50.000mg/1.000ml"	"08020100"
"9107541000033119"	"24034811000001102"	"tecfidera 120mg gastro-resistant capsules (biogen idec ltd)"	"tecfidera 120mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"dimethyl fumarate"	"120.000mg"	NA
"9107641000033118"	"24035111000001108"	"tecfidera 240mg gastro-resistant capsules (biogen idec ltd)"	"tecfidera 240mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"dimethyl fumarate"	"240.000mg"	NA
"9158541000033112"	"24408011000001101"	"leflunomide 15mg tablets"	"leflunomide 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"leflunomide"	"15.000mg"	"10010300"
"9158841000033114"	"18430611000001102"	"mercaptopurine 10mg tablets"	"mercaptopurine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"mercaptopurine"	"10.000mg"	"08010300"
"9200841000033116"	"41771611000001106"	"teriflunomide 14mg tablets"	"teriflunomide 14mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"teriflunomide"	"14.000mg"	"08020400"
"9200941000033112"	"24504611000001108"	"aubagio 14mg tablets (sanofi)"	"aubagio 14mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"teriflunomide"	"14.000mg"	NA
"9290641000033115"	"24595211000001109"	"methotrexate 7.5mg/0.15ml solution for injection pre-filled disposable devices"	"methotrexate 7.5mg/0.15ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9290741000033112"	"24594311000001100"	"methotrexate 10mg/0.2ml solution for injection pre-filled disposable devices"	"methotrexate 10mg/0.2ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9290841000033119"	"24594411000001107"	"methotrexate 12.5mg/0.25ml solution for injection pre-filled disposable devices"	"methotrexate 12.5mg/0.25ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9290941000033110"	"24594511000001106"	"methotrexate 15mg/0.3ml solution for injection pre-filled disposable devices"	"methotrexate 15mg/0.3ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9291041000033117"	"24594611000001105"	"methotrexate 17.5mg/0.35ml solution for injection pre-filled disposable devices"	"methotrexate 17.5mg/0.35ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9291141000033118"	"24594711000001101"	"methotrexate 20mg/0.4ml solution for injection pre-filled disposable devices"	"methotrexate 20mg/0.4ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9291241000033113"	"24594811000001109"	"methotrexate 22.5mg/0.45ml solution for injection pre-filled disposable devices"	"methotrexate 22.5mg/0.45ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9291341000033115"	"24594911000001104"	"methotrexate 25mg/0.5ml solution for injection pre-filled disposable devices"	"methotrexate 25mg/0.5ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9291441000033114"	"24595011000001104"	"methotrexate 27.5mg/0.55ml solution for injection pre-filled disposable devices"	"methotrexate 27.5mg/0.55ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9291541000033110"	"24595111000001103"	"methotrexate 30mg/0.6ml solution for injection pre-filled disposable devices"	"methotrexate 30mg/0.6ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"9291641000033111"	"24588411000001102"	"metoject pen 7.5mg/0.15ml solution for injection pre-filled pens (medac uk)"	"metoject pen 7.5mg/0.15ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"9291741000033119"	"24590211000001100"	"metoject pen 10mg/0.2ml solution for injection pre-filled pens (medac uk)"	"metoject pen 10mg/0.2ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"9291841000033112"	"24589911000001102"	"metoject pen 12.5mg/0.25ml solution for injection pre-filled pens (medac uk)"	"metoject pen 12.5mg/0.25ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"9291941000033116"	"24589611000001108"	"metoject pen 15mg/0.3ml solution for injection pre-filled pens (medac uk)"	"metoject pen 15mg/0.3ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"9292041000033110"	"24591111000001100"	"metoject pen 17.5mg/0.35ml solution for injection pre-filled pens (medac uk)"	"metoject pen 17.5mg/0.35ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"9292141000033114"	"24590811000001104"	"metoject pen 20mg/0.4ml solution for injection pre-filled pens (medac uk)"	"metoject pen 20mg/0.4ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"9292241000033119"	"24590411000001101"	"metoject pen 22.5mg/0.45ml solution for injection pre-filled pens (medac uk)"	"metoject pen 22.5mg/0.45ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"9292341000033112"	"24589311000001103"	"metoject pen 25mg/0.5ml solution for injection pre-filled pens (medac uk)"	"metoject pen 25mg/0.5ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"9292441000033118"	"24589011000001101"	"metoject pen 27.5mg/0.55ml solution for injection pre-filled pens (medac uk)"	"metoject pen 27.5mg/0.55ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"9292541000033117"	"24588711000001108"	"metoject pen 30mg/0.6ml solution for injection pre-filled pens (medac uk)"	"metoject pen 30mg/0.6ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
