"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"equivalent prednisolone dose"
"131541000033113"	"35910611000001103"	"betamethasone 4mg/1ml solution for injection ampoules"	"betamethasone 4mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular/ Subconjunctival"	"betamethasone sodium phosphate"	"4.000mg/1.000ml"	"0.15"
"144641000033113"	"39697311000001102"	"betamethasone 500microgram soluble tablets sugar free"	"betamethasone 500microgram soluble tablets sugar free"	"Soluble tablet/"	"Oral"	"betamethasone sodium phosphate"	"500.000microgram"	"0.15"
"145441000033110"	"42080811000001109"	"betamethasone 500microgram tablets"	"betamethasone 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"betamethasone"	"500.000microgram"	"0.15"
"143041000033117"	"3804311000001103"	"betnelan 500microgram tablets (focus pharmaceuticals ltd)"	"betnelan 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"betamethasone"	"500.000microgram"	"0.15"
"131341000033118"	"3932011000001108"	"betnesol 4mg/1ml solution for injection ampoules (focus pharmaceuticals ltd)"	"betnesol 4mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular/ Subconjunctival"	"betamethasone sodium phosphate"	"4.000mg/1.000ml"	"0.15"
"144841000033114"	"3694811000001103"	"betnesol 500microgram soluble tablets (focus pharmaceuticals ltd)"	"betnesol 500microgram soluble tablets"	"Soluble tablet/"	"Oral"	"betamethasone sodium phosphate"	"500.000microgram"	"0.15"
"1718241000033117"	"3807811000001103"	"budenofalk 3mg gastro-resistant capsules (dr. falk pharma uk ltd)"	"budenofalk 3mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"budesonide"	"3.000mg"	"0.075"
"6512141000033111"	"19738311000001103"	"budenofalk 9mg gastro-resistant granules sachets (dr. falk pharma uk ltd)"	"budenofalk 9mg gastro-resistant granules sachets"	"Gastro-resistant granules"	"Oral"	"budesonide"	"9.000mg"	"0.075"
"12641241000033111"	"35824211000001108"	"budesonide 1mg orodispersible tablets sugar free"	"budesonide 1mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"budesonide"	"1.000mg"	"0.075"
"1718341000033110"	"42292411000001104"	"budesonide 3mg gastro-resistant capsules"	"budesonide 3mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"budesonide"	"3.000mg"	"0.075"
"169341000033114"	"35912611000001102"	"budesonide 3mg gastro-resistant modified-release capsules"	"budesonide 3mg gastro-resistant modified-release capsules"	"Modified-release capsule"	"Oral"	"budesonide"	"3.000mg"	"0.075"
