"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"cerebral degeneration in gaucher's disease"	"296990017"	"F1020"	"F102000"	"192791009"	"296990017"	"32"
"cerebral degeneration in niemann-pick disease"	"296991018"	"F1021"	"F102100"	"192792002"	"296991018"	"32"
"cerebral degeneration in lipidosis nos"	"296992013"	"F102z"	"F102z00"	"192794001"	"296993015"	"32"
"cerebral degeneration in diseases ec"	"296993015"	"F103"	"F103.00"	"192794001"	"296993015"	"32"
"cerebral degeneration in hunter's disease"	"296994014"	"F1030"	"F103000"	"192795000"	"296994014"	"32"
"cerebral degeneration in mucopolysaccharidoses"	"296995010"	"F1031"	"F103100"	"192796004"	"296995010"	"32"
"cerebral degeneration in disease nos"	"296996011"	"F103z"	"F103z00"	"192794001"	"296993015"	"32"
"other cerebral degenerations in childhood"	"296997019"	"F10y"	"F10y.00"	"2584003"	"5405012"	"32"
"other cerebral degenerations in childhood nos"	"296998012"	"F10yz"	"F10yz00"	"2584003"	"5405012"	"32"
"childhood cerebral degenerations nos"	"296999016"	"F10z"	"F10z.00"	"2584003"	"5405012"	"32"
"degenerative brain disorder"	"297000018"	"F11"	"F11..00"	"52522001"	"87406016"	"32"
"degenerative brain disorder"	"12702281000006111"	"^ESCT1270228"	NA	"52522001"	"198391016"	"32"
"alzheimer's disease"	"45046017"	"F110"	"F110.00"	"26929004"	"45046017"	"32"
"alzheimer's disease with early onset"	"499946014"	"F1100"	"F110000"	"416780008"	"2957141019"	"32"
"alzheimer's disease with late onset"	"500317011"	"F1101"	"F110100"	"416975007"	"2957124016"	"32"
"pick's disease"	"22408016"	"F111"	"F111.00"	"13092008"	"22408016"	"32"
"senile degeneration of brain"	"76484016"	"F112"	"F112.00"	"45864009"	"76484016"	"32"
"senile brain degeneration"	"882941000006113"	"F112-99"	"F112.99"	"45864009"	"882941000006113"	"32"
"lewy body disease"	"745381000006119"	"F116"	"F116.00"	"80098002"	"132893017"	"32"
"frontotemporal degeneration"	"345092016"	"F118"	"F118.00"	"230273006"	"345092016"	"32"
"cerebral degeneration associated with another disorder"	"542781000006113"	"F11x"	"F11x.00"	"192794001"	"2575727019"	"32"
"cerebral degeneration due to alcoholism"	"542611000006114"	"F11x0"	"F11x000"	"192811002"	"297011014"	"32"
"cerebral degeneration due to beriberi"	"297012019"	"F11x1"	"F11x100"	"192812009"	"297012019"	"32"
"cerebral degeneration due to cerebrovascular disease"	"297013012"	"F11x2"	"F11x200"	"192813004"	"297013012"	"32"
"cerebral degeneration due to congenital hydrocephalus"	"297014018"	"F11x3"	"F11x300"	"192814005"	"297014018"	"32"
"cerebral degeneration due to neoplastic disease"	"297015017"	"F11x4"	"F11x400"	"192815006"	"297015017"	"32"
"cerebral degeneration due to myxoedema"	"542671000006117"	"F11x5"	"F11x500"	"192816007"	"297016016"	"32"
"cerebral degeneration due to vitamin b12 deficiency"	"297018015"	"F11x6"	"F11x600"	"192817003"	"297018015"	"32"
"cerebral degeneration due to jakob - creutzfeldt disease"	"542651000006110"	"F11x7"	"F11x700"	"192818008"	"297019011"	"32"
"cerebral degeneration due to progressive multifocal leucoencephalopathy"	"542661000006112"	"F11x8"	"F11x800"	"192819000"	"297021018"	"32"
"cerebral degeneration in parkinson's disease"	"636681000000117"	"F11x9"	"F11x900"	"341551000000108"	"636681000000117"	"32"
"cerebral degeneration other disease nos"	"297022013"	"F11xz"	"F11xz00"	"192794001"	"296993015"	"32"
"other cerebral degeneration"	"35741000006114"	"F11y"	"F11y.00"	"52522001"	"87406016"	"32"
"reye's syndrome"	"123479016"	"F11y0"	"F11y000"	"74351001"	"123479016"	"32"
"other cerebral degeneration nos"	"297025010"	"F11yz"	"F11yz00"	"418143002"	"2577820013"	"32"
"cerebral degeneration"	"399393010"	"F11z"	"F11z.00"	"418143002"	"2577820013"	"32"
"cerebral atrophy"	"415873013"	"F11z-1"	"F11z.11"	"278849000"	"415873013"	"32"
"cerebral degenerations nos"	"882951000006110"	"F11z-99"	"F11z.99"	"668731000000103"	"882951000006110"	"32"
"huntington's chorea"	"97642017"	"F134"	"F134.00"	"58756001"	"97642017"	"32"
"binswanger's disease"	"149347010"	"F21y2"	"F21y200"	"90099008"	"149347010"	"32"
"binswanger's encephalopathy"	"1235534016"	"F21y2-1"	"F21y211"	"90099008"	"1235534016"	"32"
"[x]other alzheimer's disease"	"299325013"	"Fyu30"	"Fyu3000"	"26929004"	"45046017"	"32"
"[rfc] alzheimer's disease"	"905791000006115"	"HNG0062"	NA	"905791000006104"	"905791000006115"	"12"
"[rfc] dementia"	"939491000006118"	"HNGNQRF130"	NA	"939491000006102"	"939491000006118"	"12"
"acquired immune deficiency syndrome dementia complex"	"6973461000006110"	"^ESCTAC697346"	NA	"421529006"	"2622767013"	"32"
"ad - alzheimer's disease"	"2931231000006118"	"^ESCTAD293123"	NA	"26929004"	"1225144019"	"32"
"age-related degeneration of brain"	"3240651000006113"	"^ESCTAG324065"	NA	"45864009"	"2966662012"	"32"
"alcohol-induced persisting dementia"	"2502981000006117"	"^ESCTAL250298"	NA	"281004"	"1558011"	"32"
"alzheimer disease"	"2931241000006111"	"^ESCTAL293124"	NA	"26929004"	"2839267017"	"32"
"alzheimer dementia"	"2931251000006113"	"^ESCTAL293125"	NA	"26929004"	"3424952012"	"32"
"amnesic syndrome"	"2551451000006119"	"^ESCTAM255145"	NA	"3298001"	"485380014"	"32"
"cerebral degeneration due to creutzfeldt-jakob disease"	"4768981000006114"	"^ESCTCE476898"	NA	"192818008"	"297019011"	"32"
"chronic progressive subcortical encephalopathy"	"3964671000006119"	"^ESCTCH396467"	NA	"90099008"	"1235537011"	"32"
"cjd - creutzfeldt-jakob disease"	"2510981000006118"	"^ESCTCJ251098"	NA	"792004"	"1234325017"	"32"
"cortical lewy body disease"	"3802671000006118"	"^ESCTCO380267"	NA	"80098002"	"1234439018"	"32"
"creutzfeldt-jakob disease"	"2510951000006114"	"^ESCTCR251095"	NA	"792004"	"2387010"	"32"
"dementia associated with alcoholism"	"2502971000006115"	"^ESCTDE250297"	NA	"281004"	"1557018"	"32"
"dementia of the lewy body type"	"3802651000006111"	"^ESCTDE380265"	NA	"80098002"	"1234437016"	"32"
"dementia of the alzheimers type with early onset"	"6897241000006118"	"^ESCTDE689724"	NA	"416780008"	"2957133019"	"32"
"dementia in alzheimer's disease - type 2"	"6897271000006114"	"^ESCTDE689727"	NA	"416780008"	"2957156011"	"32"
"dementia of the alzheimers type, late onset"	"6900201000006110"	"^ESCTDE690020"	NA	"416975007"	"2957123010"	"32"
"dementia in alzheimer's disease - type 1"	"6900241000006112"	"^ESCTDE690024"	NA	"416975007"	"2957155010"	"32"
"dementia associated with aids"	"6973421000006116"	"^ESCTDE697342"	NA	"421529006"	"2617355019"	"32"
"dementia associated with parkinson's disease"	"7043651000006119"	"^ESCTDE704365"	NA	"425390006"	"2645368017"	"32"
"dementia associated with parkinson disease"	"7043661000006117"	"^ESCTDE704366"	NA	"425390006"	"2842012010"	"32"
"dementia due to huntingtons disease"	"7263021000006116"	"^ESCTDE726302"	NA	"442344002"	"2951827019"	"32"
"dementia due to picks disease"	"8009521000006114"	"^ESCTDE800952"	NA	"21921000119103"	"2987132018"	"32"
"dementia due to pick disease"	"8009531000006112"	"^ESCTDE800953"	NA	"21921000119103"	"2987352013"	"32"
"history of dementia"	"4539871000006116"	"^ESCTHI453987"	NA	"161465002"	"2987032015"	"32"
"huntington chorea"	"3454551000006117"	"^ESCTHU345455"	NA	"58756001"	"2838433019"	"32"
"lbd - lewy body disease"	"3802641000006114"	"^ESCTLB380264"	NA	"80098002"	"1234436013"	"32"
"lewy body variant of alzheimer's disease"	"3802621000006119"	"^ESCTLE380262"	NA	"80098002"	"132894011"	"32"
"lobar atrophy"	"5005661000006113"	"^ESCTLO500566"	NA	"230273006"	"345091011"	"32"
"mid - multi-infarct dementia"	"3414231000006117"	"^ESCTMI341423"	NA	"56267009"	"497558012"	"32"
"pick disease"	"2707661000006119"	"^ESCTPI270766"	NA	"13092008"	"2838911012"	"32"
"progressive multifocal leukoencephalopathy"	"2854601000006117"	"^ESCTPR285460"	NA	"22255007"	"37365019"	"32"
"primary degenerative dementia of the alzheimer type, presenile onset"	"6897211000006117"	"^ESCTPR689721"	NA	"416780008"	"2549310013"	"32"
"presenile dementia, alzheimer's type"	"6897251000006116"	"^ESCTPR689725"	NA	"416780008"	"2957138011"	"32"
"primary degenerative dementia of the alzheimer type, senile onset"	"6900181000006114"	"^ESCTPR690018"	NA	"416975007"	"2549518019"	"32"
"sdat - senile dementia, alzheimer's type"	"6900221000006117"	"^ESCTSD690022"	NA	"416975007"	"2957134013"	"32"
"subcortical arteriosclerotic encephalopathy"	"3964651000006112"	"^ESCTSU396465"	NA	"90099008"	"1235535015"	"32"
"subcortical atherosclerotic dementia"	"3964661000006114"	"^ESCTSU396466"	NA	"90099008"	"1235536019"	"32"
"vad - vascular dementia"	"3414251000006112"	"^ESCTVA341425"	NA	"56267009"	"497560014"	"32"
