medcodeid	snomedctconceptid	term	given	given_lag	neutral	declined	adv_reac	remove
8439011000006112	1066171000000108	Seasonal influenza vaccination given by midwife		1				
8439021000006116	1066181000000105	First inactivated seasonal influenza vaccination given by midwife		1				
8439031000006118	1066191000000107	Second inactivated seasonal influenza vaccination given by midwife		1				
8693731000006112	4365811000001107	Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd) 1 pre-filled disposable injection	1					
924501000006111	924501000006107	Influenza vaccination			1			
931801000006112	420113004	Influenza virus vaccine adverse reaction					1	
932221000006114	420113004	Adv react: influenza vaccine					1	
954351000006115	954351000006104	Influenza vaccination contraindicated					1	
954501000006112	954501000006108	DNA - influenza immunisation					1	
955561000006112	955561000006108	Adverse reaction to influenza vaccine					1	
979321000006111	166311000000109	Influenza immunisation for those in the 65 years and over and other at risk groups enhanced services administration			1			
991841000006116	991841000006100	DNA Flu vaccination appointment					1	
11966351000006119	11966351000006103	Adverse reaction to Influvac Sub-Unit Tetra					1	
11966421000006117	11966421000006101	Adverse reaction to Influenza Vaccine Tetra Myl					1	
12617211000006111	63281000000106	First intranasal seasonal influenza vaccination not done					1	
13486041000006111	135231000119103	Intranasal influenza vaccination given	1					
1970861000006117	1970861000006101	Adverse reaction to Flumist Quadrivalent					1	
12510261000006118	12510261000006102	Adverse reaction to Flucelvax Tetra					1	
13487531000006111	13487531000006107	Adverse reaction to Flublok Quadrivalent Vaccine (Recombinant)					1	
1033861000006119	1033861000006103	Adverse reaction to Mastaflu					1	
1566921000006117	1566921000006101	Adverse reaction to Viroflu					1	
1712711000006111	1712711000006107	Adverse reaction to Pandemrix (H1N1) Vaccine					1	
1064881000006119	1064881000006103	Adverse reaction to Fluzone					1	
1073321000006115	1073321000006104	Adverse reaction to Fluarix					1	
1083251000006112	1083251000006108	Adverse reaction to Fluvirin					1	
1849121000006116	1849121000006100	Adverse reaction to Optaflu					1	
1881301000006117	1881301000006101	Adverse reaction to Fluarix Tetra					1	
1917911000006119	1917911000006103	Adverse reaction to Fluenz Tetra					1	
1856901000006118	1856901000006102	GSK Flu D-QIV research subject number						1
105278601000001116	34783811000001108	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)	1					
11994251000006119	35727211000001103	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) 1 pre-filled disposable injection	1					
14029601000006113	39121211000001109	Flublok Quadrivalent vaccine (recombinant) solution for injection 0.5ml pre-filled syringes (Imported (United States))	1					
14127291000006119	38973211000001108	Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)	1					
14375671000006117	3255011000001100	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)	1					
14390181000006110	35727211000001103	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd) 1 pre-filled disposable injection	1					
1136091000000113	473169009	History of influenza vaccination						1
2244651000000119	868491000000103	No consent for seasonal influenza vaccination					1	
1724311000006111	515371000000101	No consent for influenza A (H1N1v) 2009 vaccination					1	
2395701000000111	935351000000106	Long term indication for seasonal influenza vaccination						1
285858017	185900003	Has 'flu vaccination at home						1
285859013	185901004	Has'flu vaccination at surgery						1
816791000006117	185902006	Has influenza vaccination at hospital						1
2549468013	416928007	Has influenza vaccination at work						1
13487531000006111	13487531000006107	Adverse reaction to Flublok Quadrivalent Vaccine (Recombinant)					1	
1751391000006115	1751391000006104	Influenza vaccination verbal invite						1
11934921000006113	11934921000006109	Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination	1					
11934931000006111	11934931000006107	Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination	1					
11934961000006119	11934961000006103	Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination	1					
11935021000006113	11935021000006109	Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider		1				
11935031000006111	11935031000006107	Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider		1				
11935061000006119	11935061000006103	Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by other healthcare provider		1				
1882471000006114	1882471000006105	Requires an intranasal influenza vaccination						1
11935001000006115	11935001000006104	Second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by pharmacist		1				
2159195013	294647003	[V]Personal history of influenza vaccine allergy					1	
105278601000001116	34783811000001108	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)	1					
