"medcodeid"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"
"1974781000006113"	"EMISICD10|F2021"	NA	"catatonic schizophrenia, episodic with progressive deficit"	"1974781000006109"	"1974781000006113"
"1974801000006112"	"EMISICD10|F2022"	NA	"catatonic schizophrenia, episodic with stable deficit"	"1974801000006108"	"1974801000006112"
"1974831000006116"	"EMISICD10|F2023"	NA	"catatonic schizophrenia, episodic remittent"	"1974831000006100"	"1974831000006116"
"1974861000006113"	"EMISICD10|F2024"	NA	"catatonic schizophrenia, incomplete remission"	"1974861000006109"	"1974861000006113"
"1974891000006117"	"EMISICD10|F2025"	NA	"catatonic schizophrenia, complete remission"	"1974891000006101"	"1974891000006117"
"1974921000006111"	"EMISICD10|F2029"	NA	"catatonic schizophrenia, course uncertain, period of observation too short"	"1974921000006107"	"1974921000006111"
"1975051000006119"	"EMISICD10|F2034"	NA	"undifferentiated schizophrenia, incomplete remission"	"1975051000006103"	"1975051000006119"
"1975191000006114"	"EMISICD10|F2040"	NA	"post-schizophrenic depression, continuous"	"1975191000006105"	"1975191000006114"
"1975211000006110"	"EMISICD10|F2041"	NA	"post-schizophrenic depression, episodic with progressive deficit"	"1975211000006106"	"1975211000006110"
"1975231000006116"	"EMISICD10|F2042"	NA	"post-schizophrenic depression, episodic with stable deficit"	"1975231000006100"	"1975231000006116"
"1975261000006113"	"EMISICD10|F2043"	NA	"post-schizophrenic depression, episodic remittent"	"1975261000006109"	"1975261000006113"
"1975281000006115"	"EMISICD10|F2044"	NA	"post-schizophrenic depression, incomplete remission"	"1975281000006104"	"1975281000006115"
"1975301000006116"	"EMISICD10|F2045"	NA	"post-schizophrenic depression, complete remission"	"1975301000006100"	"1975301000006116"
"1975321000006114"	"EMISICD10|F2049"	NA	"post-schizophrenic depression, course uncertain, period of observation too short"	"1975321000006105"	"1975321000006114"
"1975351000006117"	"EMISICD10|F2050"	NA	"residual schizophrenia, continuous"	"1975351000006101"	"1975351000006117"
"1975381000006113"	"EMISICD10|F2051"	NA	"residual schizophrenia, episodic with progressive deficit"	"1975381000006109"	"1975381000006113"
"1975401000006113"	"EMISICD10|F2052"	NA	"residual schizophrenia, episodic with stable deficit"	"1975401000006109"	"1975401000006113"
"1975431000006117"	"EMISICD10|F2053"	NA	"residual schizophrenia, episodic remittent"	"1975431000006101"	"1975431000006117"
"1975441000006110"	"EMISICD10|F2054"	NA	"residual schizophrenia, incomplete remission"	"1975441000006106"	"1975441000006110"
"1975471000006119"	"EMISICD10|F2055"	NA	"residual schizophrenia, complete remission"	"1975471000006103"	"1975471000006119"
"1975481000006116"	"EMISICD10|F2059"	NA	"residual schizophrenia, course uncertain, period of observation too short"	"1975481000006100"	"1975481000006116"
"1975491000006118"	"EMISICD10|F2060"	NA	"simple schizophrenia, continuous"	"1975491000006102"	"1975491000006118"
"1975501000006114"	"EMISICD10|F2061"	NA	"simple schizophrenia, episodic with progressive deficit"	"1975501000006105"	"1975501000006114"
"1975521000006116"	"EMISICD10|F2062"	NA	"simple schizophrenia, episodic with stable deficit"	"1975521000006100"	"1975521000006116"
"1975551000006113"	"EMISICD10|F2063"	NA	"simple schizophrenia, episodic remittent"	"1975551000006109"	"1975551000006113"
"1975571000006115"	"EMISICD10|F2064"	NA	"simple schizophrenia, incomplete remission"	"1975571000006104"	"1975571000006115"
"1975601000006110"	"EMISICD10|F2065"	NA	"simple schizophrenia, complete remission"	"1975601000006106"	"1975601000006110"
"1975641000006112"	"EMISICD10|F2069"	NA	"simple schizophrenia, course uncertain, period of observation too short"	"1975641000006108"	"1975641000006112"
"1975681000006118"	"EMISICD10|F2310"	NA	"acute polymorphic psychot disord with symp of schizophren, without associated acute stress"	"1975681000006102"	"1975681000006118"
"1975691000006115"	"EMISICD10|F2311"	NA	"acute polymorphic psychot disord with symp of schizophren, with associated acute stress"	"1975691000006104"	"1975691000006115"
"1975711000006117"	"EMISICD10|F2320"	NA	"acute schizophrenia-like psychotic disorder, without associated acute stress"	"1975711000006101"	"1975711000006117"
"1975731000006111"	"EMISICD10|F2321"	NA	"acute schizophrenia-like psychotic disorder, with associated acute stress"	"1975731000006107"	"1975731000006111"
"1975751000006116"	"EMISICD10|F2080"	NA	"other schizophrenia, continuous"	"1975751000006100"	"1975751000006116"
"1975761000006119"	"EMISICD10|F2330"	NA	"other acute predominantly delusional psychotic disorders, without associated acute stress"	"1975761000006103"	"1975761000006119"
"1975771000006114"	"EMISICD10|F2081"	NA	"other schizophrenia, episodic with progressive deficit"	"1975771000006105"	"1975771000006114"
"1975781000006112"	"EMISICD10|F2331"	NA	"other acute predominantly delusional psychotic disorders, with associated acute stress"	"1975781000006108"	"1975781000006112"
"1975801000006111"	"EMISICD10|F2082"	NA	"other schizophrenia, episodic with stable deficit"	"1975801000006107"	"1975801000006111"
"1975821000006118"	"EMISICD10|F2380"	NA	"other acute and transient psychotic disorders, without associated acute stress"	"1975821000006102"	"1975821000006118"
"1975831000006115"	"EMISICD10|F2083"	NA	"other schizophrenia, episodic remittent"	"1975831000006104"	"1975831000006115"
"1975841000006113"	"EMISICD10|F2084"	NA	"other schizophrenia, incomplete remission"	"1975841000006109"	"1975841000006113"
"1975851000006110"	"EMISICD10|F2381"	NA	"other acute and transient psychotic disorders, with associated acute stress"	"1975851000006106"	"1975851000006110"
"1975871000006117"	"EMISICD10|F2390"	NA	"acute and transient psychotic disorder, unspecified, without associated acute stress"	"1975871000006101"	"1975871000006117"
"1975881000006119"	"EMISICD10|F2085"	NA	"other schizophrenia, complete remission"	"1975881000006103"	"1975881000006119"
"1975901000006117"	"EMISICD10|F2391"	NA	"acute and transient psychotic disorder, unspecified, with associated acute stress"	"1975901000006101"	"1975901000006117"
"1975911000006119"	"EMISICD10|F2089"	NA	"other schizophrenia, course uncertain, period of observation too short"	"1975911000006103"	"1975911000006119"
"1975931000006113"	"EMISICD10|F3130"	NA	"bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome"	"1975931000006109"	"1975931000006113"
"1975941000006115"	"EMISICD10|F3131"	NA	"bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome"	"1975941000006104"	"1975941000006115"
"1976001000006113"	"EMISICD10|F2090"	NA	"schizophrenia, unspecified, continuous"	"1976001000006109"	"1976001000006113"
"1976061000006114"	"EMISICD10|F2091"	NA	"schizophrenia, unspecified, episodic with progressive deficit"	"1976061000006105"	"1976061000006114"
"1976101000006112"	"EMISICD10|F2092"	NA	"schizophrenia, unspecified, episodic with stable deficit"	"1976101000006108"	"1976101000006112"
"1976121000006119"	"EMISICD10|F2093"	NA	"schizophrenia, unspecified, episodic remittent"	"1976121000006103"	"1976121000006119"
"1976141000006114"	"EMISICD10|F2094"	NA	"schizophrenia, unspecified, incomplete remission"	"1976141000006105"	"1976141000006114"
"1976151000006111"	"EMISICD10|F2095"	NA	"schizophrenia, unspecified, complete remission"	"1976151000006107"	"1976151000006111"
"1976171000006118"	"EMISICD10|F2099"	NA	"schizophrenia, unspecified, course uncertain, period of observation too short"	"1976171000006102"	"1976171000006118"
"1976881000006112"	"EMISICD10|F2008"	NA	"paranoid schizophrenia, other"	"1976881000006108"	"1976881000006112"
"1976891000006110"	"EMISICD10|F2018"	NA	"hebephrenic schizophrenia, other"	"1976891000006106"	"1976891000006110"
"1976901000006114"	"EMISICD10|F2028"	NA	"catatonic schizophrenia, other"	"1976901000006105"	"1976901000006114"
"1976911000006112"	"EMISICD10|F2038"	NA	"undifferentiated schizophrenia, other"	"1976911000006108"	"1976911000006112"
"1976921000006116"	"EMISICD10|F2048"	NA	"post-schizophrenic depression, other"	"1976921000006100"	"1976921000006116"
"1976931000006118"	"EMISICD10|F2058"	NA	"residual schizophrenia, other"	"1976931000006102"	"1976931000006118"
"1976941000006111"	"EMISICD10|F2068"	NA	"simple schizophrenia, other"	"1976941000006107"	"1976941000006111"
"1976951000006113"	"EMISICD10|F2088"	NA	"other schizophrenia, other"	"1976951000006109"	"1976951000006113"
"1976961000006110"	"EMISICD10|F2098"	NA	"schizophrenia, unspecified, other"	"1976961000006106"	"1976961000006110"
"1994991000006119"	"EMISNQHO150"	NA	"honos (health of the nation outcome scales) for working age adults rating scale 6 - problems associated with hallucinations and delusions"	"979571000000108"	"2491181000000112"
"2501991000006111"	"^ESCTPA250199"	NA	"paranoid reaction"	"216004"	"1454010"
"2502001000006113"	"^ESCTPE250200"	NA	"persecutory delusion"	"216004"	"481073012"
"2502581000000119"	"8G131"	"8G13100"	"cbtp - cognitive behavioural therapy for psychosis"	"718026005"	"3310934015"
"2531671000006114"	"^ESCTDE253167"	NA	"delusional thoughts"	"2073000"	"480835015"
"2531681000006112"	"^ESCTDE253168"	NA	"delusional ideas"	"2073000"	"480836019"
"2586801000006115"	"^ESCTBR258680"	NA	"brief psychotic disorder"	"5464005"	"10123010"
"2632941000006110"	"^ESCTDE263294"	NA	"delusion of infidelity"	"8330006"	"14745014"
"2632951000006112"	"^ESCTDE263295"	NA	"delusional jealousy"	"8330006"	"14746010"
"2717981000006118"	"^ESCTMD271798"	NA	"mdi - manic-depressive illness"	"13746004"	"1221013017"
"2729751000000118"	"^ESCT1171772"	NA	"recurrent depression with current severe episode and psychotic features"	"1089511000000100"	"2729751000000118"
"2730051000000114"	"^ESCT1171784"	NA	"mania with mood-congruent psychotic features"	"1089661000000104"	"2730051000000114"
"2730071000000117"	"^ESCT1171785"	NA	"mania with mood-incongruent psychotic features"	"1089671000000106"	"2730071000000117"
"2730091000000118"	"^ESCT1171786"	NA	"mania with psychotic features"	"1089681000000108"	"2730091000000118"
"2730111000000111"	"^ESCT1171787"	NA	"acute predominantly delusional psychotic disorder"	"1089691000000105"	"2730111000000111"
"2782051000006112"	"^ESCTBI278205"	NA	"bipolar i disorder, most recent episode manic with catatonic features"	"17782008"	"30048015"
