"medcodeid"	"incident"	"prevalent"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"940131000006118"	"0"	"1"	"EMISNQCO2"	NA	"copd monitoring administration"	"940131000006102"	"940131000006118"	"37"
"940141000006111"	"0"	"1"	"EMISNQCO3"	NA	"copd monitoring invite 1"	"940141000006107"	"940141000006111"	"37"
"940151000006113"	"0"	"1"	"EMISNQCO4"	NA	"copd monitoring invite 2"	"940151000006109"	"940151000006113"	"37"
"940161000006110"	"0"	"1"	"EMISNQCO5"	NA	"copd monitoring invite 3"	"940161000006106"	"940161000006110"	"37"
"967531000006119"	"0"	"1"	"9Oi"	"9Oi..00"	"chronic obstructive pulmonary disease monitoring administration"	"713731000000102"	"1564971000000118"	"37"
"967571000006116"	"0"	"1"	"9Oi3"	"9Oi3.00"	"chronic obstructive pulmonary disease monitoring verbal invite"	"716281000000103"	"1568831000000118"	"37"
"967581000006118"	"0"	"1"	"9Oi4"	"9Oi4.00"	"chronic obstructive pulmonary disease monitoring telephone invitation"	"716901000000101"	"1569451000000115"	"37"
"977891000006112"	"0"	"1"	"66Yd"	"66Yd.00"	"chronic obstructive pulmonary disease accident and emergency attendance since last visit"	"413845009"	"2533538014"	"1"
"977901000006111"	"0"	"1"	"66Ye"	"66Ye.00"	"emergency chronic obstructive pulmonary disease admission since last appointment"	"414087000"	"2533539018"	"1"
"990641000006110"	"1"	"1"	"H3-99"	"H3...99"	"chronic obst. pulm. dis. nos"	"13645005"	"990641000006110"	"32"
"990641000006110"	"1"	"1"	"H3-99"	"H3...99"	"chronic obst. pulm. dis. nos"	"13645005"	"990641000006110"	"32"
"990651000006112"	"1"	"1"	"H3-98"	"H3...98"	"chr. airway obstruction nos"	"13645005"	"990651000006112"	"32"
"990651000006112"	"1"	"1"	"H3-98"	"H3...98"	"chr. airway obstruction nos"	"13645005"	"990651000006112"	"32"
"998281000006115"	"0"	"1"	"66Yi"	"66Yi.00"	"multiple chronic obstructive pulmonary disease emergency hospital admissions"	"198901000000105"	"300201000000114"	"1"
