"diagnosis"	"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"
"anxiety"	"[x]phobic state nos"	"420671000006112"	"Eu40z-2"	"Eu40z12"	"386810004"	"1480929014"
"depression"	"[x]postnatal depression nos"	"423131000006113"	"Eu530-1"	"Eu53011"	"58703003"	"97552012"
"depression"	"[x]postpartum depression nos"	"423141000006115"	"Eu530-2"	"Eu53012"	"58703003"	"97552012"
"depression"	"[x]prolonged single episode of reactive depression"	"423611000006111"	"Eu32z-3"	"Eu32z13"	"87414006"	"2951871015"
"anxiety"	"[x]psychasthenia"	"423791000006113"	"Eu46y-4"	"Eu46y14"	"191746002"	"295032019"
"anxiety"	"[x]psychogenic syncope"	"424111000006116"	"Eu46y-6"	"Eu46y16"	"31297008"	"52339016"
"anxiety"	"[x]psychoneurotic personality disorder"	"424201000006112"	"Eu60y-6"	"Eu60y16"	"268634009"	"401785014"
"depression"	"[x]recurr severe episodes/major depression+psychotic symptom"	"424541000006111"	"Eu333-3"	"Eu33313"	"28475009"	"47670016"
"depression"	"[x]recurr severe episodes/psychogenic depressive psychosis"	"424551000006113"	"Eu333-4"	"Eu33314"	"191613003"	"294840015"
"mixed"	"[x]recurrent brief depressive episodes"	"424561000006110"	"Eu3y1-1"	"Eu3y111"	"40568001"	"67653019"
"depression"	"[x]recurrent episodes of depressive reaction"	"424631000006119"	"Eu33-1"	"Eu33.11"	"191616006"	"294844012"
"depression"	"[x]recurrent episodes of psychogenic depression"	"424641000006112"	"Eu33-2"	"Eu33.12"	"191616006"	"294844012"
"depression"	"[x]recurrent episodes of reactive depression"	"424651000006114"	"Eu33-3"	"Eu33.13"	"191616006"	"294844012"
"depression"	"[x]recurrent severe episodes of psychotic depression"	"424671000006116"	"Eu333-5"	"Eu33315"	"191613003"	"294840015"
"depression"	"recurrent reactive depressive episodes, severe, with psychosis"	"424681000006118"	"Eu333-6"	"Eu33316"	"1086471000000103"	"2721771000000114"
"depression"	"sad - seasonal affective disorder"	"425411000006110"	"Eu33-5"	"Eu33.15"	"247803002"	"369983019"
"depression"	"[x]seasonal depressive disorder"	"425751000006115"	"Eu33-4"	"Eu33.14"	"247803002"	"369982012"
"anxiety"	"[x]simple phobia"	"426871000006113"	"Eu402-4"	"Eu40214"	"386810004"	"1491809016"
"depression"	"[x]single episode of depressive reaction"	"426911000006111"	"Eu32-1"	"Eu32.11"	"87414006"	"2951871015"
"depression"	"[x]single episode of major depression and psychotic symptoms"	"426921000006115"	"Eu323-1"	"Eu32311"	"191604000"	"294828015"
"depression"	"[x]single episode of masked depression nos"	"426931000006117"	"Eu32y-2"	"Eu32y12"	"231500002"	"346973011"
"depression"	"[x]single episode of psychogenic depression"	"426941000006110"	"Eu32-2"	"Eu32.12"	"87414006"	"2951871015"
"depression"	"[x]single episode of psychogenic depressive psychosis"	"426951000006112"	"Eu323-2"	"Eu32312"	"191676002"	"294917018"
"depression"	"[x]single episode of psychotic depression"	"426961000006114"	"Eu323-3"	"Eu32313"	"191604000"	"294828015"
"depression"	"[x]single episode of reactive depression"	"426971000006119"	"Eu32-3"	"Eu32.13"	"87414006"	"2951871015"
"depression"	"[x]single episode of reactive depressive psychosis"	"426981000006116"	"Eu323-4"	"Eu32314"	"191676002"	"294917018"
"depression"	"[x]single episode vital depression w'out psychotic symptoms"	"426991000006118"	"Eu322-3"	"Eu32213"	"310497006"	"454084010"
"anxiety"	"childhood social anxiety disorder"	"427051000006113"	"Eu932"	"Eu93200"	"64165008"	"1232536012"
"anxiety"	"[x]social neurosis"	"427061000006110"	"Eu401-2"	"Eu40112"	"25501002"	"42759014"
"anxiety"	"social phobia"	"427071000006115"	"Eu401"	"Eu40100"	"25501002"	"42759014"
"anxiety"	"specific phobia"	"427231000006111"	"Eu402"	"Eu40200"	"54587008"	"90725015"
"depression"	"[x]vital depression, recurrent without psychotic symptoms"	"432511000006119"	"Eu332-4"	"Eu33214"	"310497006"	"454084010"
"anxiety"	"anancastic personality"	"481471000006112"	"E214-1"	"E214.11"	"1376001"	"475486014"
"anxiety"	"anankastic personality"	"481481000006110"	"E2140"	"E214000"	"1376001"	"475488010"
"anxiety"	"anxiety disorder"	"488201000006114"	"E200"	"E200.00"	"197480006"	"303689015"
"mixed"	"mixed anxiety and depressive disorder"	"488211000006112"	"E2003"	"E200300"	"231504006"	"346979010"
"anxiety"	"beck anxiety inventory"	"504351000006118"	"EMISHGT020"	NA	"504351000006102"	"504351000006118"
"anxiety"	"beck anxiety inventory"	"5932991000006115"	"^ESCTBE593299"	NA	"304711006"	"447082010"
"depression"	"brief depressive adjustment reaction"	"525921000006119"	"E290"	"E290.00"	"192046006"	"295490019"
"anxiety"	"childhood and adolescent overanxiousness disturbance"	"550361000006119"	"E2D00"	"E2D0000"	"13438001"	"22967015"
"anxiety"	"gad-7 score"	"566981000000113"	"388w-1"	"388w.11"	"445455005"	"2872229011"
"anxiety"	"compulsive personality disorder"	"577931000006110"	"E214"	"E214.00"	"473456000"	"2957161013"
"depression"	"depressive psychoses"	"613791000006115"	"E11-2"	"E11..12"	"35489007"	"59212011"
"anxiety"	"disturbance anxiety and fearfulness childhood/adolescent nos"	"626101000006114"	"E2D0z"	"E2D0z00"	"192108001"	"295582017"
"anxiety"	"disturbance of anxiety and fearfulness in childhood and adolescence"	"626121000006116"	"E2D0"	"E2D0.00"	"192108001"	"295582017"
"anxiety"	"epnds question 4 - anxiety"	"647711000006111"	"EMISHGT024"	NA	"647711000006107"	"647711000006111"
"anxiety"	"epnds question 5 - panic"	"647721000006115"	"EMISHGT025"	NA	"647721000006104"	"647721000006115"
"anxiety"	"reactive depression (situational)"	"675861000006113"	"E204"	"E204.00"	"87414006"	"144929012"
"anxiety"	"neurotic disorder"	"675881000006115"	"E20"	"E20..00"	"111475002"	"1219652011"
"anxiety"	"neurotic personality"	"675901000006118"	"E21y7-1"	"E21y711"	"33449004"	"55821010"
"anxiety"	"neurotic personality disorder"	"675911000006115"	"E21-1"	"E21..11"	"33449004"	"55821010"
"anxiety"	"neurotic, personality and other nonpsychotic disorders"	"675921000006111"	"E2"	"E2...00"	"74732009"	"124108014"
"depression"	"on full dose long term treatment for depression"	"681801000000113"	"9kQ-1"	"9kQ..11"	"361761000000106"	"681801000000113"
"anxiety"	"phonophobia"	"851141000006112"	"EMISR4QPH1"	NA	"851141000006108"	"851141000006112"
"anxiety"	"phonophobia"	"6029481000006111"	"^ESCTPH602948"	NA	"313387002"	"457276013"
"anxiety"	"school phobia"	"851351000006112"	"EMISR4QSC1"	NA	"851351000006108"	"851351000006112"
"anxiety"	"school phobia"	"5531801000006117"	"^ESCTSC553180"	NA	"271947006"	"406958012"
