"medcodeid"	"term"	"smokstatus"	"status"
"1974911000006115"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, residual affective disorder"	1	"smoker or ex-smoker"
"1974931000006114"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, dementia"	1	"smoker or ex-smoker"
"1974961000006117"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, other persisting cognitive impairment"	1	"smoker or ex-smoker"
"1974981000006110"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, late-onset psychotic disorder"	1	"smoker or ex-smoker"
"1979471000006116"	"nicotine replacement therapy using nicotine nasal spray"	1	"smoker or ex-smoker"
"1979481000006118"	"nicotine replacement therapy using nicotine mouth spray"	1	"smoker or ex-smoker"
"1979491000006115"	"smoking cessation follow-up"	12	"smoker or ex-smoker"
"2141561000000115"	"smoking cessation drug therapy declined"	1	"smoker or ex-smoker"
"216212011"	"smoking reduced"	1	"smoker or ex-smoker"
"21681000000118"	"anti-smoking monitoring admin."	12	"smoker or ex-smoker"
"21691000000116"	"anti-smoking monitoring administration"	12	"smoker or ex-smoker"
"2170961000000116"	"waterpipe tobacco consumption"	1	"smoker or ex-smoker"
"2203381000000113"	"smoking cessation 12 week follow-up"	12	"smoker or ex-smoker"
"2251871000000112"	"referral to smoking cessation service declined"	1	"smoker or ex-smoker"
"2251911000000114"	"referral to smoking cessation service"	1	"smoker or ex-smoker"
"2265711000000117"	"electronic cigarette user"	1	"smoker or ex-smoker"
"2336091000000117"	"ex user of electronic cigarette"	2	"smoker or ex-smoker"
"2462391000000119"	"varenicline smoking cessation therapy declined"	1	"smoker or ex-smoker"
"2462431000000110"	"varenicline smoking cessation therapy offered"	1	"smoker or ex-smoker"
"2474719011"	"minutes from waking to first tobacco consumption"	1	"smoker or ex-smoker"
"250363016"	"ex-trivial cigarette smoker (<1/day)"	2	"smoker or ex-smoker"
"250364010"	"ex-light cigarette smoker (1-9/day)"	2	"smoker or ex-smoker"
"250365011"	"ex-moderate cigarette smoker (10-19/day)"	2	"smoker or ex-smoker"
"250366012"	"ex-heavy cigarette smoker (20-39/day)"	2	"smoker or ex-smoker"
"250367015"	"ex-very heavy cigarette smoker (40+/day)"	2	"smoker or ex-smoker"
"250368013"	"keeps trying to stop smoking"	1	"smoker or ex-smoker"
"250370016"	"tobacco consumption unknown"	1	"smoker or ex-smoker"
"250371017"	"ex-smoker - amount unknown"	2	"smoker or ex-smoker"
"250372012"	"trying to give up smoking"	12	"smoker or ex-smoker"
"250373019"	"stopped smoking"	2	"smoker or ex-smoker"
"250374013"	"current non-smoker"	0	"non-smoker"
"250375014"	"rolls own cigarettes"	1	"smoker or ex-smoker"
"250385010"	"date ceased smoking"	2	"smoker or ex-smoker"
"250387019"	"tobacco consumption nos"	1	"smoker or ex-smoker"
"25281000000119"	"stop smoking clinic administration"	12	"smoker or ex-smoker"
"263570019"	"maternal tobacco abuse"	1	"smoker or ex-smoker"
"265092010"	"pregnancy smoking advice"	1	"smoker or ex-smoker"
"2669652019"	"smoking started"	1	"smoker or ex-smoker"
"2670126018"	"smoking restarted"	1	"smoker or ex-smoker"
"285792013"	"monitoring of smoking cessation therapy refused"	12	"smoker or ex-smoker"
"285793015"	"stop smoking monitor default"	12	"smoker or ex-smoker"
"285805010"	"stop smoking monitoring delete"	12	"smoker or ex-smoker"
"295256013"	"tobacco dependence, unspecified"	1	"smoker or ex-smoker"
"295257016"	"tobacco dependence, continuous"	1	"smoker or ex-smoker"
"295258014"	"tobacco dependence, episodic"	1	"smoker or ex-smoker"
"295259018"	"tobacco dependence in remission"	2	"smoker or ex-smoker"
"295260011"	"tobacco dependence nos"	1	"smoker or ex-smoker"
"295951010"	"nicotine-induced organic mental disorder"	1	"smoker or ex-smoker"
"2982426011"	"provision of smoking cessation leaflet"	1	"smoker or ex-smoker"
"298701000000114"	"history of tobacco use"	2	"smoker or ex-smoker"
"303501000000115"	"smoking cessation advice provided by community pharmacist"	12	"smoker or ex-smoker"
"324597019"	"toxic effect of tobacco and nicotine"	1	"smoker or ex-smoker"
"338608011"	"smoking cessation advice"	12	"smoker or ex-smoker"
"342443012"	"smokes drugs"	12	"smoker or ex-smoker"
"342444018"	"smokes drugs in cigarette form"	1	"smoker or ex-smoker"
"342445017"	"smokes drugs through a pipe"	1	"smoker or ex-smoker"
"342574011"	"total time smoked"	12	"smoker or ex-smoker"
"344793011"	"cigarette consumption"	1	"smoker or ex-smoker"
"344794017"	"cigar consumption"	1	"smoker or ex-smoker"
"344795016"	"pipe tobacco consumption"	1	"smoker or ex-smoker"
"37311000006117"	"other anti-smoking drug given"	1	"smoker or ex-smoker"
"397181000006117"	"[x]mental and behavioural disorders due to use of tobacco: residual and late-onset psychotic disorder"	1	"smoker or ex-smoker"
"397271000006110"	"[x]mental and behavioural disorders due to use of tobacco: other mental and behavioural disorders"	1	"smoker or ex-smoker"
"397281000006113"	"[x]mental and behavioural disorders due to use of tobacco: withdrawal state with delirium"	1	"smoker or ex-smoker"
"397461000006119"	"[x]mental and behavioural disorders due to use of tobacco: unspecified mental and behavioural disorder"	1	"smoker or ex-smoker"
"397671000006112"	"[x]mental and behavioural disorders due to use of tobacco: acute intoxication"	1	"smoker or ex-smoker"
"397681000006110"	"[x]mental and behavioural disorders due to use of tobacco: psychotic disorder"	1	"smoker or ex-smoker"
"397732011"	"never smoked tobacco"	0	"non-smoker"
"397733018"	"occasional smoker"	1	"smoker or ex-smoker"
"397911000006114"	"[x]mental and behavioural disorders due to use of tobacco: harmful use"	1	"smoker or ex-smoker"
"397971000006117"	"[x]mental and behav dis due to use tobacco: amnesic syndrome"	1	"smoker or ex-smoker"
"397981000006119"	"[x]mental and behav dis due to use tobacco: dependence syndr"	1	"smoker or ex-smoker"
"397991000006116"	"[x]mental and behavioural disorders due to use of tobacco: withdrawal state"	1	"smoker or ex-smoker"
"408878014"	"fagerstrom test for nicotine dependence total score"	1	"smoker or ex-smoker"
"418914010"	"ex-cigarette smoker"	2	"smoker or ex-smoker"
"457286014"	"nicotine replacement therapy"	12	"smoker or ex-smoker"
"459484017"	"nicotine replacement therapy refused"	1	"smoker or ex-smoker"
"459524018"	"over the counter nicotine replacement therapy"	12	"smoker or ex-smoker"
"459722017"	"referral to stop-smoking clinic"	12	"smoker or ex-smoker"
